N16961_chrII|NC_002506.1|cassette_008	sp|P52037|YGFF_ECOLI	61.475	244	94	0	821	1552	3	246	7.59e-103	317	Glucose 1-dehydrogenase YgfF OS=Escherichia coli (strain K12) OX=83333 GN=ygfF PE=1 SV=2
N16961_chrII|NC_002506.1|cassette_008	sp|P26838|CAT4_ECOLX	67.647	204	65	1	24	632	3	206	1.50e-84	268	Chloramphenicol acetyltransferase OS=Escherichia coli OX=562 GN=catB2 PE=3 SV=2
N16961_chrII|NC_002506.1|cassette_008	sp|P50869|CAT4_MORMO	67.647	204	65	1	24	632	3	206	7.17e-83	264	Chloramphenicol acetyltransferase OS=Morganella morganii OX=582 GN=cat PE=3 SV=1
N16961_chrII|NC_002506.1|cassette_008	sp|P50868|CAT4_KLEAE	67.488	203	65	1	24	629	3	205	9.96e-83	263	Chloramphenicol acetyltransferase OS=Klebsiella aerogenes OX=548 GN=catB4 PE=3 SV=1
N16961_chrII|NC_002506.1|cassette_008	sp|P26841|CAT4_PSEAE	64.593	209	73	1	24	647	3	211	1.81e-80	258	Chloramphenicol acetyltransferase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=cat PE=1 SV=3
N16961_chrII|NC_002506.1|cassette_010	sp|Q9KMM3|DGT1B_VIBCH	100.000	402	0	0	1926	3131	1	402	0.0	825	Deoxyguanosinetriphosphate triphosphohydrolase-like protein 2 OS=Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961) OX=243277 GN=VC_A0308 PE=3 SV=1
N16961_chrII|NC_002506.1|cassette_010	sp|Q0HIK2|DGTL1_SHESM	33.721	430	201	13	2016	3098	18	432	1.53e-52	194	Deoxyguanosinetriphosphate triphosphohydrolase-like protein OS=Shewanella sp. (strain MR-4) OX=60480 GN=Shewmr4_2042 PE=3 SV=1
N16961_chrII|NC_002506.1|cassette_010	sp|A0KX58|DGTL1_SHESA	33.641	434	196	14	2016	3098	18	432	6.51e-52	192	Deoxyguanosinetriphosphate triphosphohydrolase-like protein OS=Shewanella sp. (strain ANA-3) OX=94122 GN=Shewana3_2147 PE=3 SV=1
N16961_chrII|NC_002506.1|cassette_010	sp|B8E525|DGTL1_SHEB2	33.256	433	202	13	2016	3098	18	435	6.65e-52	192	Deoxyguanosinetriphosphate triphosphohydrolase-like protein OS=Shewanella baltica (strain OS223) OX=407976 GN=Sbal223_2250 PE=3 SV=1
N16961_chrII|NC_002506.1|cassette_010	sp|Q0HVD3|DGTL1_SHESR	33.641	434	196	14	2016	3098	18	432	7.73e-52	192	Deoxyguanosinetriphosphate triphosphohydrolase-like protein OS=Shewanella sp. (strain MR-7) OX=60481 GN=Shewmr7_1933 PE=3 SV=1
N16961_chrII|NC_002506.1|cassette_011	sp|Q9CA40|NUDT1_ARATH	30.709	127	77	4	2208	2558	9	134	7.10e-07	53.5	Nudix hydrolase 1 OS=Arabidopsis thaliana OX=3702 GN=NUDT1 PE=1 SV=1
N16961_chrII|NC_002506.1|cassette_011	sp|Q9NV35|NUD15_HUMAN	29.661	118	72	3	2241	2567	28	143	3.57e-06	51.6	Nucleotide triphosphate diphosphatase NUDT15 OS=Homo sapiens OX=9606 GN=NUDT15 PE=1 SV=1
N16961_chrII|NC_002506.1|cassette_016	sp|O31020|Y3137_VIBCH	99.701	334	1	0	32	1033	1	334	0.0	692	Putative carboxypeptidase VC_A0337 OS=Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961) OX=243277 GN=VC_A0337 PE=3 SV=2
N16961_chrII|NC_002506.1|cassette_016	sp|Q47511|MCCF_ECOLX	56.845	336	142	2	35	1033	8	343	1.19e-131	396	Microcin C7 self-immunity protein MccF OS=Escherichia coli OX=562 GN=mccF PE=1 SV=1
N16961_chrII|NC_002506.1|cassette_016	sp|O35046|YOCD_BACSU	31.013	316	203	7	35	967	1	306	1.12e-40	155	Putative carboxypeptidase YocD OS=Bacillus subtilis (strain 168) OX=224308 GN=yocD PE=3 SV=1
